,ampl_id,stimunit_id,sine_amplitude
0,206,8,72669.44569202841
1,207,25,57192.86597218401
2,208,6,75088.93870464597
3,209,23,47737.240327204425
4,210,8,71350.10367648822
5,211,25,55930.38643284738
6,212,6,76805.9604437492
7,213,23,48225.01693495875
8,214,8,74952.96431266752
9,215,25,56948.61199167825
10,216,6,71775.91625670897
11,217,23,48384.01779402469
12,218,8,73424.24558205371
13,219,25,57307.199286482944
14,220,6,77038.04442573358
15,221,23,46861.27228896014
16,256,5,8473.37284008428
17,257,22,41329.72206223055
18,258,9,10948.388641219406
19,259,26,59500.79840362376
20,260,5,6862.141417084641
21,261,22,41813.35229568802
22,262,9,11550.990694813872
23,263,26,62436.254026885916
24,264,5,8784.470122088123
25,265,22,41664.83143665525
26,266,9,11135.339643508089
27,267,26,61839.569818542404
28,268,5,8932.466346979969
29,269,22,41543.95256408501
30,270,9,10625.505849390633
31,271,26,57364.50549726198
32,364,4,48101.17195614898
33,366,10,10198.948133857906
34,368,4,47996.09513465631
35,370,10,11428.636862767238
36,372,4,46737.66798360874
37,374,10,10315.715225275599
38,376,4,50018.54567439756
39,378,10,10048.154824757577
40,384,3,12711.696341471456
41,385,21,67220.39432727754
42,386,11,10833.813572670919
43,387,27,51219.28719282578
44,388,3,12213.236845796762
45,389,21,62576.21514936521
46,390,11,11037.252820747022
47,391,27,53096.61627616832
48,392,3,12976.101035457477
49,393,21,65176.17995729064
50,394,11,12228.9918603331
51,395,27,51202.567915200176
52,396,3,13618.546297781062
53,397,21,64125.55417845548
54,398,11,11031.32583164725
55,399,27,51906.877178600815
56,533,20,66656.81632749198
57,535,28,2599.3226260999527
58,537,20,61579.41230933703
59,539,28,2255.1322126022046
60,541,20,65293.95401666122
61,543,28,2233.513286954024
62,545,20,63810.13035308714
63,547,28,2441.646325391101
64,556,2,67839.62875516484
65,558,12,3695.7723841152833
66,560,2,72147.292778648
67,562,12,4297.11198440407
68,564,2,70635.3514815895
69,566,12,3463.9816102038044
70,568,2,76593.85665258495
71,570,12,3635.2870375841753
72,640,1,31879.313908214484
73,641,19,63767.26284122105
74,642,13,1887.8566855535107
75,643,29,4426.372412052021
76,644,1,33092.38576188433
77,645,19,63689.00238272517
78,646,13,2182.0141233328245
79,647,29,4614.720252094596
80,648,1,31045.37652461675
81,649,19,63510.81552288989
82,650,13,1862.7053075929603
83,651,29,4076.959459305986
84,652,1,31887.72346329402
85,653,19,65004.10693016344
86,654,13,1960.2132718930386
87,655,29,4328.048551648719
88,773,18,61448.3671344324
89,775,30,1658.5630379199508
90,777,18,61708.894690966066
91,779,30,1657.5644711257025
92,781,18,60156.349340311106
93,783,30,1663.5386507208873
94,785,18,61268.915330327014
95,787,30,1643.2479958548913
96,796,0,72856.77057588534
97,798,14,1811.5204567525784
98,800,0,68824.98011633816
99,802,14,2127.9055836174043
100,804,0,74570.87070088804
101,806,14,1767.9379684420308
102,808,0,74800.9715699422
103,810,14,1891.4304685041498
104,893,17,61944.769312747696
105,895,31,1562.542718922577
106,896,16,32694.161205680586
107,897,16,33455.986566341046
108,898,15,2217.6989000189265
109,899,15,2105.6858448703165
110,900,16,33333.701909519965
111,901,16,33743.427702359484
112,902,15,2248.0618726528874
113,903,15,2057.761712617321
114,909,17,65514.14766310525
115,911,31,1745.745240699554
116,913,17,66142.97530143503
117,915,31,1622.6007519039747
118,917,17,63387.5174954413
119,919,31,1560.0148904971106
