,ampl_id,stimunit_id,sine_amplitude
0,206,8,25452.62909803181
1,207,25,22572.105389141816
2,208,6,23938.171970099
3,209,23,23079.49338086669
4,210,8,24226.112106596895
5,211,25,22482.81182215088
6,212,6,26272.698375391214
7,213,23,22476.83848764716
8,214,8,25932.658275871312
9,215,25,23520.94931699162
10,216,6,24551.372404819118
11,217,23,23034.11926600465
12,218,8,24720.15606952874
13,219,25,21735.546263915396
14,220,6,26037.89174514581
15,221,23,22503.948951119448
16,256,5,25110.879504500455
17,257,22,22603.78349093553
18,258,9,24598.837656350228
19,259,26,22869.85354944345
20,260,5,23692.284124518912
21,261,22,22518.82309541278
22,262,9,23816.03346722029
23,263,26,22983.836139301202
24,264,5,25497.727567799942
25,265,22,22581.80741961016
26,266,9,25003.692955681134
27,267,26,22940.28244526556
28,268,5,23636.88572046727
29,269,22,22372.514429191437
30,270,9,24223.392417884017
31,271,26,22420.64830975761
32,364,4,24360.208692592343
33,366,10,24203.896317266746
34,368,4,25230.976772882914
35,370,10,25849.29953020172
36,372,4,23799.185672275467
37,374,10,23880.519896706603
38,376,4,25207.56960957322
39,378,10,24771.219322695873
40,384,3,25219.400161148085
41,385,21,22886.79812307438
42,386,11,24095.999964920255
43,387,27,22993.5674623064
44,388,3,24776.220283332317
45,389,21,22878.324982514863
46,390,11,24395.999296557085
47,391,27,22522.435112056726
48,392,3,25703.485189108436
49,393,21,21215.494041431528
50,394,11,25375.32569595236
51,395,27,22392.124289691314
52,396,3,25610.072753921642
53,397,21,22617.808712309226
54,398,11,24384.29772613651
55,399,27,22275.88992533919
56,533,20,22241.79018991762
57,535,28,15019.966310587573
58,537,20,22427.181195409892
59,539,28,14573.808935190096
60,541,20,22979.409779757716
61,543,28,14669.576882748772
62,545,20,22381.90984591051
63,547,28,14350.112957456238
64,556,2,25270.538897743165
65,558,12,23059.98686552362
66,560,2,24929.68709680174
67,562,12,24014.638588747606
68,564,2,24761.160664241204
69,566,12,23442.75813781843
70,568,2,25052.73612125869
71,570,12,23508.9701674307
72,640,1,25323.14438117311
73,641,19,23066.302739617244
74,642,13,5601.217412381701
75,643,29,21506.603897372595
76,644,1,24787.508619539327
77,645,19,23126.856081326823
78,646,13,6141.759555622074
79,647,29,22060.56939968456
80,648,1,25670.92016537124
81,649,19,23202.845557365505
82,650,13,5719.220050968225
83,651,29,21911.637481049227
84,652,1,24689.479547061503
85,653,19,22958.565860951006
86,654,13,5217.802496332099
87,655,29,21934.658470053088
88,773,18,22285.829808902832
89,775,30,5510.434144492426
90,777,18,22284.779114815232
91,779,30,5294.394383276911
92,781,18,22583.519675454347
93,783,30,5518.418675404729
94,785,18,22974.608360587732
95,787,30,5513.875032158777
96,796,0,24055.249247930184
97,798,14,4766.979624825824
98,800,0,24670.38205958068
99,802,14,5270.2808758198635
100,804,0,24801.846739264605
101,806,14,4633.58067993484
102,808,0,24270.236181785283
103,810,14,4545.68618935011
104,893,17,22303.9149598314
105,895,31,5030.988521242088
106,896,16,22652.249251230376
107,897,16,22262.082577606267
108,898,15,6215.138893248931
109,899,15,6458.950175066125
110,900,16,22070.810233326247
111,901,16,22322.697768507107
112,902,15,6767.467983444675
113,903,15,6427.426067348967
114,909,17,22088.14952941247
115,911,31,5390.163566515236
116,913,17,22282.669284882977
117,915,31,5106.392260214294
118,917,17,21972.70468876671
119,919,31,5036.966874387121
