,ampl_id,stimunit_id,sine_amplitude
0,206,8,1661.514597609428
1,207,25,1052.5373897318977
2,208,6,2191.5450796651153
3,209,23,1317.2177224105794
4,210,8,991.228886926554
5,211,25,717.3171841297408
6,212,6,1613.3101809117084
7,213,23,577.1354831226543
8,214,8,2980.564183017051
9,215,25,602.3293337092584
10,216,6,921.6976614972511
11,217,23,1214.3511771969163
12,218,8,2936.987139031384
13,219,25,1996.0567710188404
14,220,6,2905.7056186700856
15,221,23,664.8972752879178
16,256,5,155.89069856232484
17,257,22,1656.815769677811
18,258,9,180.93991714579914
19,259,26,2080.383858235684
20,260,5,280.89800684139954
21,261,22,358.90986629651553
22,262,9,239.18424629947984
23,263,26,2502.6400821588113
24,264,5,331.75126634159705
25,265,22,1372.1414611428777
26,266,9,180.22627764907912
27,267,26,2362.2254034580287
28,268,5,168.7213297915614
29,269,22,643.9314533197346
30,270,9,297.936761228498
31,271,26,2076.3043578758384
32,364,4,1576.250207051811
33,366,10,402.2006096879784
34,368,4,937.2512474304882
35,370,10,415.2300580178573
36,372,4,1618.5384702589981
37,374,10,116.5808898124901
38,376,4,1272.6547057789198
39,378,10,347.36411987793724
40,384,3,439.61051038930333
41,385,21,460.3235762020059
42,386,11,213.81267689755978
43,387,27,984.7330949437029
44,388,3,286.48917606461185
45,389,21,1545.8903794315445
46,390,11,468.06054056947386
47,391,27,2284.496194754902
48,392,3,388.8399812372859
49,393,21,2006.2905147326292
50,394,11,420.76848474416977
51,395,27,1852.7277482579718
52,396,3,391.65404743397875
53,397,21,473.79199985879694
54,398,11,163.3385912637084
55,399,27,1807.4428971522307
56,533,20,441.3664167937594
57,535,28,127.27235965102777
58,537,20,2109.359839758344
59,539,28,91.65653286054703
60,541,20,2630.5370797964
61,543,28,105.84936271002766
62,545,20,2653.826270267499
63,547,28,115.82505339302043
64,556,2,1736.4463592320167
65,558,12,97.74736407573282
66,560,2,2593.3275510880608
67,562,12,189.3526911899094
68,564,2,1093.4500470566666
69,566,12,120.31201972941442
70,568,2,2537.396462081826
71,570,12,90.68046259703107
72,640,1,325.94555244258135
73,641,19,1637.8474872805411
74,642,13,80.98949960002233
75,643,29,74.93430814827792
76,644,1,1363.0237021190117
77,645,19,1001.1156571322798
78,646,13,123.29298177191338
79,647,29,190.42551759634213
80,648,1,965.1197840894142
81,649,19,2390.8018621426986
82,650,13,118.01555649578246
83,651,29,151.21613992164606
84,652,1,1002.8180263795656
85,653,19,1847.5016162288002
86,654,13,70.09882435975229
87,655,29,192.84488871575564
88,773,18,2424.763826745307
89,775,30,89.85149458050182
90,777,18,691.9155499485335
91,779,30,77.8745589199462
92,781,18,2408.9273459749534
93,783,30,83.1275663614393
94,785,18,2295.6607055990953
95,787,30,89.80936152950197
96,796,0,1450.228365479922
97,798,14,88.80702913767347
98,800,0,2265.631956196729
99,802,14,97.02342299001701
100,804,0,1398.6441271267001
101,806,14,94.23989017071067
102,808,0,2010.6656570550483
103,810,14,74.46373144305988
104,893,17,1048.8453022965518
105,895,31,91.45470770099635
106,896,16,550.2962697224472
107,897,16,1292.686084067254
108,898,15,89.17123432631074
109,899,15,117.63681738256217
110,900,16,408.84150901092454
111,901,16,1576.9834814282926
112,902,15,103.05469649635734
113,903,15,81.96746847673543
114,909,17,1625.4693694843183
115,911,31,77.8698915921156
116,913,17,1546.7327167535423
117,915,31,77.55612313995476
118,917,17,1628.4673675228007
119,919,31,99.77308396108056
