channel,electrode,x,y,stim,stim_unit,pad_id
173,6347,3272.5,490.0,False,,251.0
233,5455,3062.5,420.0,False,,221.0
237,6566,3255.0,507.5,False,,251.0
245,5674,3045.0,437.5,False,,221.0
525,4135,3062.5,315.0,False,,223.0
633,3915,3062.5,297.5,False,,223.0
685,5454,3045.0,420.0,False,,221.0
721,6567,3272.5,507.5,False,,251.0
737,4134,3045.0,315.0,False,,223.0
761,6346,3255.0,490.0,True,20,251.0
853,5675,3062.5,437.5,False,,221.0
900,12219,2082.5,962.5,False,,18.0
910,12439,2082.5,980.0,False,,18.0
917,1873,1977.5,140.0,False,,15.0
921,1874,1995.0,140.0,False,,15.0
929,1654,1995.0,122.5,False,,15.0
989,12218,2065.0,962.5,False,,18.0
1017,12438,2065.0,980.0,False,,18.0
