,ampl_id,stimunit_id,sine_amplitude
0,206,8,34280.938342925736
1,207,25,25228.888260346263
2,208,6,34925.27797928642
3,209,23,21921.490884767038
4,210,8,34894.81444967461
5,211,25,24711.2727842016
6,212,6,34311.72176733015
7,213,23,23001.418328099116
8,214,8,36252.63982966859
9,215,25,25647.55742983264
10,216,6,33927.44706587534
11,217,23,22580.510676164915
12,218,8,35266.07130436985
13,219,25,25328.648207426904
14,220,6,34040.95298684799
15,221,23,22515.533175203578
16,256,5,3546.843870602875
17,257,22,19058.93017318085
18,258,9,4815.131269680163
19,259,26,28237.706578142017
20,260,5,3094.1719483169654
21,261,22,19651.665817821267
22,262,9,4784.63678726544
23,263,26,29754.037841783484
24,264,5,3611.0222286787207
25,265,22,18816.63475121125
26,266,9,4645.142874273062
27,267,26,28833.836438217993
28,268,5,3824.4004393031737
29,269,22,18711.62922336499
30,270,9,4324.703245448052
31,271,26,26651.974996088833
32,364,4,22033.268204732198
33,366,10,4136.065624073159
34,368,4,22259.419242503667
35,370,10,4879.938605854582
36,372,4,21279.605805546784
37,374,10,4395.209968223905
38,376,4,22642.487884059337
39,378,10,4339.002094638364
40,384,3,6287.3715417307185
41,385,21,31658.598665898513
42,386,11,4384.980908729751
43,387,27,22884.366299215904
44,388,3,5468.610116314026
45,389,21,28815.553988424817
46,390,11,4376.241301314031
47,391,27,23159.107305647136
48,392,3,5764.9204157425365
49,393,21,30548.531377154577
50,394,11,5234.8980691000825
51,395,27,22863.377304037567
52,396,3,6062.410841902551
53,397,21,29411.76921945735
54,398,11,4337.806259142693
55,399,27,23019.107733576613
56,533,20,29936.294809577983
57,535,28,1179.380406045403
58,537,20,29270.422134932964
59,539,28,934.8959289703284
60,541,20,30129.723484631384
61,543,28,965.4483495214515
62,545,20,29226.426514752868
63,547,28,1078.7662169883165
64,556,2,31448.587617066485
65,558,12,1652.3256600252314
66,560,2,32097.98452426526
67,562,12,1960.5883346266046
68,564,2,32991.402617369866
69,566,12,1557.5615194079548
70,568,2,32574.273794997174
71,570,12,1513.9640655797614
72,640,1,14991.385398603645
73,641,19,30101.12686601694
74,642,13,911.6431073515145
75,643,29,1911.9924405097047
76,644,1,14737.240726832128
77,645,19,30985.527037045016
78,646,13,975.821195711401
79,647,29,2127.132127676147
80,648,1,15238.72145391721
81,649,19,30555.47011908734
82,650,13,930.0404027683408
83,651,29,1710.342396577429
84,652,1,14526.046544401788
85,653,19,31831.11397280725
86,654,13,818.7128853922779
87,655,29,1704.386650481989
88,773,18,29363.27576107575
89,775,30,780.862448655302
90,777,18,28889.361747973246
91,779,30,780.9103995423261
92,781,18,28388.67925545734
93,783,30,750.4841322743356
94,785,18,28625.30338054157
95,787,30,756.0878080973839
96,796,0,33268.54221642323
97,798,14,846.2875751381471
98,800,0,33242.26155300674
99,802,14,905.9248122156305
100,804,0,38.485416100522414
101,806,14,0.0
102,808,0,0.0
103,810,14,0.0
104,893,17,0.0
105,895,31,0.0
106,896,16,1892.0527277621848
107,897,16,0.0
108,898,15,0.0
109,899,15,0.0
110,900,16,0.0
111,901,16,0.0
112,902,15,0.0
113,903,15,0.0
114,909,17,0.0
115,911,31,0.0
116,913,17,0.0
117,915,31,0.0
118,917,17,0.0
119,919,31,0.0
